0.4595,0.0232,0.2374,0.0809,0.8382,-0.9512,0.122,-0.1062,0.9693,-0.3667,0.5834,0.0747,0
0.4599,0.0168,0.2499,0.1809,0.8641,-0.9682,0.098,-0.2062,0.6693,-0.0667,0.2834,0.3625,0
0.4599,0.0232,0.2372,0.0809,0.8866,-0.9973,0.0902,-0.1062,0.9693,-0.3667,0.5834,0.0625,0
0.4529,0.0288,0.2271,-0.0191,0.9099,-1.014,0.0688,-0.0062,1.2693,-0.6667,0.7976,-0.0979,0
0.4438,0.032,0.2199,-0.1092,0.9324,-1.0281,0.0453,0.0898,1.5041,-0.9101,0.8844,-0.1932,0
0.4387,0.0334,0.2157,-0.144,0.9539,-1.041,0.0214,0.1263,1.627,-1.0558,0.9247,-0.2564,0
0.4349,0.0344,0.2124,-0.162,0.9746,-1.0526,-0.0028,0.1448,1.7171,-1.169,0.9528,-0.3075,0
0.4316,0.0351,0.2096,-0.1728,0.9943,-1.0628,-0.0274,0.1556,1.793,-1.2676,0.9756,-0.353,0
0.4286,0.0357,0.207,-0.1799,1.0133,-1.0714,-0.0526,0.1625,1.8612,-1.3583,0.9956,-0.3955,0
0.4258,0.0362,0.2045,-0.1848,1.0314,-1.0785,-0.0784,0.167,1.9246,-1.4441,1.0138,-0.4361,0
0.4232,0.0367,0.2021,-0.1883,1.0488,-1.0842,-0.1047,0.1701,1.9846,-1.5264,1.0307,-0.4753,0
0.4206,0.0372,0.1998,-0.191,1.0654,-1.0885,-0.1314,0.1721,2.0421,-1.6063,1.0467,-0.5137,0
0.4181,0.0376,0.1976,-0.193,1.0812,-1.0915,-0.1587,0.1735,2.0977,-1.6843,1.0619,-0.5513,0
0.4157,0.038,0.1954,-0.1945,1.0963,-1.0931,-0.1863,0.1743,2.1516,-1.7607,1.0765,-0.5883,0
0.4133,0.0383,0.1932,-0.1956,1.1107,-1.0934,-0.2143,0.1748,2.2042,-1.8357,1.0905,-0.6249,0
0.411,0.0387,0.1911,-0.1965,1.1242,-1.0925,-0.2428,0.175,2.2555,-1.9096,1.104,-0.661,0
0.4087,0.039,0.189,-0.1972,1.1371,-1.0904,-0.2715,0.175,2.3057,-1.9825,1.1171,-0.6967,0
0.4064,0.0393,0.187,-0.1977,1.1492,-1.0871,-0.3005,0.1748,2.3549,-2.0544,1.1297,-0.7321,0
0.4042,0.0396,0.185,-0.1981,1.1606,-1.0827,-0.3298,0.1744,2.4031,-2.1255,1.142,-0.7672,0
0.402,0.0398,0.1829,-0.1983,1.1713,-1.0772,-0.3594,0.1739,2.4504,-2.1957,1.1538,-0.8019,0
0.3999,0.0401,0.181,-0.1985,1.1812,-1.0706,-0.3892,0.1734,2.4968,-2.2652,1.1653,-0.8365,0
0.3977,0.0403,0.179,-0.1986,1.1904,-1.063,-0.4191,0.1727,2.5424,-2.3339,1.1764,-0.8707,0
